Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
88,1.707874537,,,1.760461569,,,1.788305521,,,1.811690927,,,1.874818802,,,1.709265351,,
89,2.170340061,,,2.008319378,,,1.956957817,,,2.223966599,,,2.052987099,,,2.067533255,,
90,2.287195444,,,2.278307915,,,2.331976652,,,2.586527348,,,2.305461168,,,2.337953568,,
91,2.135976076,,,1.850558758,,,2.131147146,,,1.73914969,,,2.055955887,,,2.131301403,,
92,1.956812501,,,1.921937943,,,2.232505083,,,1.851687431,,,1.999367595,,,2.082371712,,
93,2.116040468,,,2.084713936,,,2.435453176,,,2.924847841,,,2.709577322,,,1.563820601,,
94,2.011127234,,,2.329499483,,,2.037954569,,,2.21378088,,,1.899487734,,,2.155873299,,
95,1.997717977,,,2.209804058,,,2.104313135,,,2.096287966,,,2.233734131,,,2.314307451,,
96,1.772738457,,,1.896948814,,,1.717890263,,,1.674972534,,,1.949782133,,,2.019814491,,
97,1.300015688,,,1.291971684,,,1.279087782,,,1.362764001,,,1.368834257,,,1.279630899,,
98,1.138924837,,,1.202360153,,,1.103271723,,,1.201162457,,,1.071328878,,,0.838346183,,
99,1.230330229,,,1.069520473,,,1.107486367,,,1.05973196,,,1.019133925,,,1.171233058,,
100,1.043303967,,,1.039741039,,,0.964025736,,,0.952381968,,,1.13661921,,,1.192477822,,
101,0.972012043,,,0.962355673,,,1.022538543,,,0.956956148,,,0.860087752,,,1.005526781,,
102,1.045352817,,,0.779033303,,,0.752537966,,,0.878250837,,,0.726859391,,,0.710379124,,
103,0.825574875,,,0.700043082,,,0.622009516,,,0.573694646,,,0.462750375,,,0.431668639,,
104,0.824979782,,,0.625306606,,,0.690821409,,,0.513661504,,,0.456879675,,,0.454251707,,
105,0.857541203,,,0.666948438,,,0.597049356,,,0.553292394,,,0.639480412,,,0.572938681,,
106,0.844546854,,,0.506251931,,,0.463875532,,,0.433741689,,,0.506471872,,,0.454948753,,
107,0.854257941,,,0.507273436,,,0.510740399,,,0.427425623,,,0.470094383,,,0.348847091,,
108,0.765169501,,,0.341090471,,,0.364880681,,,0.210749224,,,0.193028614,,,0,,
109,0.763563752,,,0.481501579,,,0.491657645,,,0.325345784,,,0.369723201,,,0.277751267,,
110,0.914858758,,,0.604150414,,,0.601691365,,,0.461736739,,,0.49854365,,,0.528147817,,
111,1.083028316,,,0.694842994,,,0.717724264,,,0.712596893,,,0.634506822,,,0.630069971,,
112,1.101392508,,,0.831499159,,,0.818172812,,,0.749294043,,,0.630433023,,,0.657984316,,
113,1.083172917,,,0.891943932,,,0.738400698,,,0.715944707,,,0.50830847,,,0.447028965,,
114,1.260880351,,,1.025176048,,,0.949183941,,,0.991020441,,,0.915546536,,,0.962182641,,
115,1.365307331,,,1.177336097,,,1.145107388,,,1.175055385,,,1.22885704,,,1.329163551,,
116,1.599692583,,,1.571738362,,,1.455496788,,,1.392154932,,,1.364983916,,,1.384320498,,
117,1.775938869,,,1.574377537,,,1.426773548,,,1.541537285,,,1.390419126,,,1.251136661,,
118,1.558996081,,,1.626161933,,,1.705478072,,,1.196983337,,,1.319444895,,,1.148393035,,
119,1.878245711,,,1.852648616,,,1.998694181,,,1.649099112,,,1.686042547,,,1.437484741,,
120,2.103996992,,,2.141911983,,,1.992992401,,,2.131021261,,,1.86357975,,,1.935189247,,
121,2.492073774,,,2.373002768,,,2.606597424,,,2.614145517,,,3.105090857,,,2.789849043,,
122,2.830264091,,,3.052649498,,,2.561807156,,,2.790325165,,,2.976197243,,,2.888598442,,
